instance sat family pattern-v pattern-e target-v target-e
si2-b09-m400.01 1 3 80 336 400 1800
si2-b09-m400.03 1 3 80 337 400 1800
si2-b09-m400.02 1 3 80 336 400 1800
si2-b09-m400.07 1 3 80 337 400 1800
si2-b09-m400.09 1 3 80 337 400 1800
si2-b09-m400.06 1 3 80 338 400 1800
si2-b09-m400.00 1 3 80 337 400 1800
si4-b06-m200.06 1 3 80 234 200 600
si4-b06-m200.03 1 3 80 234 200 600
si4-b06-m200.02 1 3 80 234 200 600
si4-b06-m200.07 1 3 80 234 200 600
si4-b06-m200.05 1 3 80 234 200 600
si4-b06-m200.08 1 3 80 234 200 600
si4-b06-m200.00 1 3 80 234 200 600
si4-b06-m200.04 1 3 80 234 200 600
si4-b06-m200.01 1 3 80 234 200 600
si4-b06-m200.09 1 3 80 234 200 600
si4-r005-m400.06 1 7 160 1182 400 7802
si4-r005-m400.03 1 7 160 1222 400 7778
si4-r005-m400.07 1 7 160 1217 400 7776
si4-r005-m400.01 1 7 160 1221 400 7797
si4-r005-m400.04 1 7 160 1214 400 7805
si4-r005-m400.00 1 7 160 1230 400 7781
si4-r005-m400.09 1 7 160 1273 400 7783
si4-r005-m400.05 1 7 160 1227 400 7812
si4-r005-m400.08 1 7 160 1230 400 7782
si4-r005-m400.02 1 7 160 1265 400 7781
si4-m4Dr2-m1296.07 1 6 518 1200 1296 3859
si4-m4Dr2-m1296.00 1 6 518 1223 1296 3858
si4-m4Dr2-m1296.05 1 6 518 1057 1296 3859
si4-m4Dr2-m1296.04 1 6 518 1117 1296 3859
si4-m4Dr2-m1296.08 1 6 518 1035 1296 3858
si4-m4Dr2-m1296.01 1 6 518 1180 1296 3859
si4-m4Dr2-m1296.06 1 6 518 1157 1296 3859
si4-m4Dr2-m1296.02 1 6 518 1134 1296 3858
si4-m4Dr2-m1296.03 1 6 518 1053 1296 3859
si4-m4Dr2-m1296.09 1 6 518 1095 1296 3858
si6-b09-m800.03 1 3 480 2137 800 3600
si6-b09-m800.09 1 3 480 2137 800 3600
si6-b09-m800.07 1 3 480 2136 800 3600
si6-b09-m800.05 1 3 480 2136 800 3600
si6-b09-m800.04 1 3 480 2136 800 3600
si6-b09-m800.01 1 3 480 2137 800 3600
si6-b09-m800.00 1 3 480 2137 800 3600
si6-b09-m800.02 1 3 480 2136 800 3600
si6-b09-m800.06 1 3 480 2136 800 3600
si6-b09-m800.08 1 3 480 2137 800 3600
si6-b06m-m400.00 1 4 240 585 400 1198
si6-b06m-m400.08 1 4 240 606 400 1198
si6-b06m-m400.03 1 4 240 588 400 1198
si6-b06m-m400.04 1 4 240 580 400 1197
si6-b06m-m400.06 1 4 240 602 400 1198
si6-b06m-m400.07 1 4 240 605 400 1197
si6-b06m-m400.09 1 4 240 587 400 1198
si6-b06m-m400.02 1 4 240 619 400 1197
si6-b06m-m400.01 1 4 240 605 400 1200
si6-b06m-m400.05 1 4 240 592 400 1197
si2-m4Dr4-m1296.08 1 6 259 458 1296 4118
si2-m4Dr4-m1296.07 1 6 259 451 1296 4116
si2-m4Dr4-m1296.03 1 6 259 443 1296 4115
si2-m4Dr4-m1296.05 1 6 259 463 1296 4117
si2-m4Dr4-m1296.06 1 6 259 538 1296 4116
si2-m4Dr4-m1296.04 1 6 259 534 1296 4118
si2-m4Dr4-m1296.09 1 6 259 490 1296 4117
si2-m4Dr4-m1296.01 1 6 259 455 1296 4118
si2-m4Dr4-m1296.00 1 6 259 505 1296 4118
si2-m4Dr4-m1296.02 1 6 259 430 1296 4117
si6-m4Dr6-m1296.02 1 6 777 1941 1296 4373
si6-m4Dr6-m1296.08 1 6 777 2003 1296 4375
si6-m4Dr6-m1296.07 1 6 777 2047 1296 4375
si6-m4Dr6-m1296.06 1 6 777 2012 1296 4376
si6-m4Dr6-m1296.03 1 6 777 1964 1296 4376
si6-m4Dr6-m1296.04 1 6 777 1921 1296 4376
si6-m4Dr6-m1296.05 1 6 777 1969 1296 4375
si6-m4Dr6-m1296.00 1 6 777 1975 1296 4374
si6-m4Dr6-m1296.09 1 6 777 2075 1296 4374
si6-m4Dr6-m1296.01 1 6 777 2053 1296 4376
si4-m4Dr2-m256.00 1 6 102 198 256 723
si4-m4Dr2-m256.01 1 6 102 208 256 723
si4-m4Dr2-m256.05 1 6 102 221 256 722
si4-m4Dr2-m256.04 1 6 102 213 256 722
si4-m4Dr2-m256.08 1 6 102 215 256 722
si4-m4Dr2-m256.07 1 6 102 198 256 722
si4-m4Dr2-m256.06 1 6 102 215 256 723
si4-m4Dr2-m256.02 1 6 102 219 256 723
si4-m4Dr2-m256.09 1 6 102 234 256 723
si4-m4Dr2-m256.03 1 6 102 198 256 722
si4-b09m-m200.01 1 4 80 224 200 896
si4-b09m-m200.00 1 4 80 217 200 899
si4-b09m-m200.03 1 4 80 223 200 897
si4-b09m-m200.06 1 4 80 230 200 896
si4-b09m-m200.02 1 4 80 228 200 899
si4-b09m-m200.04 1 4 80 240 200 899
si4-b09m-m200.05 1 4 80 244 200 897
si4-b09m-m200.07 1 4 80 232 200 896
si4-b09m-m200.08 1 4 80 226 200 894
si4-b09m-m200.09 1 4 80 206 200 899
si4-m4Dr4-m625.07 1 6 250 510 625 1948
si4-m4Dr4-m625.05 1 6 250 572 625 1948
si4-m4Dr4-m625.01 1 6 250 559 625 1949
si4-m4Dr4-m625.08 1 6 250 504 625 1949
si4-m4Dr4-m625.09 1 6 250 520 625 1950
si4-m4Dr4-m625.00 1 6 250 496 625 1950
si4-m4Dr4-m625.04 1 6 250 540 625 1950
si4-m4Dr4-m625.06 1 6 250 523 625 1948
si4-m4Dr4-m625.03 1 6 250 518 625 1948
si4-m4Dr4-m625.02 1 6 250 540 625 1950
si4-m4Dr4-m1296.03 1 6 518 1102 1296 4118
si4-m4Dr4-m1296.01 1 6 518 1029 1296 4117
si4-m4Dr4-m1296.00 1 6 518 1167 1296 4117
si4-m4Dr4-m1296.07 1 6 518 1213 1296 4116
si4-m4Dr4-m1296.02 1 6 518 1141 1296 4116
si4-m4Dr4-m1296.04 1 6 518 1137 1296 4118
si4-m4Dr4-m1296.09 1 6 518 1137 1296 4118
si4-m4Dr4-m1296.06 1 6 518 1083 1296 4116
si4-m4Dr4-m1296.08 1 6 518 1176 1296 4117
si4-m4Dr4-m1296.05 1 6 518 1113 1296 4118
si2-r005-m400.05 1 7 80 333 400 7808
si2-r005-m400.06 1 7 80 324 400 7773
si2-r005-m400.08 1 7 80 341 400 7799
si2-r005-m400.02 1 7 80 322 400 7788
si2-r005-m400.03 1 7 80 310 400 7775
si2-r005-m400.00 1 7 80 310 400 7774
si2-r005-m400.07 1 7 80 305 400 7813
si2-r005-m400.09 1 7 80 356 400 7799
si2-r005-m400.04 1 7 80 332 400 7774
si2-r005-m400.01 1 7 80 295 400 7773
si2-b06m-m400.03 1 4 80 137 400 1198
si2-b06m-m400.06 1 4 80 140 400 1198
si2-b06m-m400.05 1 4 80 160 400 1198
si2-b06m-m400.01 1 4 80 134 400 1197
si2-b06m-m400.00 1 4 80 151 400 1197
si2-b06m-m400.08 1 4 80 143 400 1198
si2-b06m-m400.07 1 4 80 142 400 1198
si2-b06m-m400.09 1 4 80 155 400 1199
si2-b06m-m400.04 1 4 80 139 400 1199
si2-b06m-m400.02 1 4 80 163 400 1197
si6-r005-m600.02 1 7 360 6278 600 17525
si6-r005-m600.08 1 7 360 6367 600 17538
si6-r005-m600.03 1 7 360 6349 600 17530
si6-r005-m600.05 1 7 360 6357 600 17498
si6-r005-m600.07 1 7 360 6338 600 17515
si6-r005-m600.04 1 7 360 6316 600 17556
si6-r005-m600.06 1 7 360 6222 600 17504
si6-r005-m600.01 1 7 360 6253 600 17546
si6-r005-m600.09 1 7 360 6296 600 17544
si6-r005-m600.00 1 7 360 6314 600 17517
si6-r005-m200.02 1 7 120 701 200 1959
si6-r005-m200.08 1 7 120 741 200 1946
si6-r005-m200.09 1 7 120 735 200 1947
si6-r005-m200.05 1 7 120 710 200 1953
si6-r005-m200.03 1 7 120 690 200 1954
si6-r005-m200.00 1 7 120 693 200 1956
si6-r005-m200.04 1 7 120 714 200 1956
si6-r005-m200.07 1 7 120 705 200 1947
si6-r005-m200.01 1 7 120 691 200 1949
si6-r005-m200.06 1 7 120 673 200 1944
si2-m4Dr6-m625.06 1 6 125 188 625 2072
si2-m4Dr6-m625.08 1 6 125 217 625 2074
si2-m4Dr6-m625.07 1 6 125 222 625 2073
si2-m4Dr6-m625.03 1 6 125 218 625 2075
si2-m4Dr6-m625.04 1 6 125 239 625 2074
si2-m4Dr6-m625.05 1 6 125 208 625 2072
si2-m4Dr6-m625.09 1 6 125 209 625 2073
si2-m4Dr6-m625.01 1 6 125 215 625 2074
si2-m4Dr6-m625.02 1 6 125 210 625 2073
si2-m4Dr6-m625.00 1 6 125 221 625 2073
si6-b03-m800.02 1 3 480 717 800 1200
si6-b03-m800.04 1 3 480 717 800 1200
si6-b03-m800.03 1 3 480 717 800 1200
si6-b03-m800.05 1 3 480 717 800 1200
si6-b03-m800.06 1 3 480 717 800 1200
si6-b03-m800.01 1 3 480 717 800 1200
si6-b03-m800.00 1 3 480 717 800 1200
si6-b03-m800.07 1 3 480 717 800 1200
si6-b03-m800.09 1 3 480 717 800 1200
si6-b03-m800.08 1 3 480 717 800 1200
si4-m4D-m1296.09 1 5 518 1536 1296 3600
si4-m4D-m1296.06 1 5 518 1528 1296 3600
si4-m4D-m1296.05 1 5 518 1530 1296 3600
si4-m4D-m1296.00 1 5 518 801 1296 3600
si4-m4D-m1296.03 1 5 518 778 1296 3600
si4-m4D-m1296.04 1 5 518 1520 1296 3600
si4-m4D-m1296.08 1 5 518 780 1296 3600
si4-m4D-m1296.02 1 5 518 825 1296 3600
si4-m4D-m1296.01 1 5 518 1530 1296 3600
si4-m4D-m1296.07 1 5 518 1531 1296 3600
si6-b03m-m400.03 1 4 240 319 400 600
si6-b03m-m400.01 1 4 240 319 400 600
si6-b03m-m400.09 1 4 240 319 400 600
si6-b03m-m400.08 1 4 240 323 400 599
si6-b03m-m400.07 1 4 240 329 400 600
si6-b03m-m400.02 1 4 240 322 400 598
si6-b03m-m400.05 1 4 240 324 400 600
si6-b03m-m400.00 1 4 240 321 400 598
si6-b03m-m400.06 1 4 240 324 400 600
si6-b03m-m400.04 1 4 240 321 400 600
si4-m4D-m256.07 1 5 102 239 256 672
si4-m4D-m256.06 1 5 102 237 256 672
si4-m4D-m256.05 1 5 102 247 256 672
si4-m4D-m256.08 1 5 102 237 256 672
si4-m4D-m256.04 1 5 102 241 256 672
si4-m4D-m256.09 1 5 102 246 256 672
si4-m4D-m256.02 1 5 102 237 256 672
si4-m4D-m256.00 1 5 102 245 256 672
si4-m4D-m256.03 1 5 102 243 256 672
si4-m4D-m256.01 1 5 102 238 256 672
si6-b06m-m800.07 1 4 480 1185 800 2398
si6-b06m-m800.04 1 4 480 1192 800 2400
si6-b06m-m800.01 1 4 480 1214 800 2398
si6-b06m-m800.00 1 4 480 1187 800 2396
si6-b06m-m800.05 1 4 480 1221 800 2396
si6-b06m-m800.08 1 4 480 1215 800 2398
si6-b06m-m800.09 1 4 480 1207 800 2398
si6-b06m-m800.02 1 4 480 1178 800 2398
si6-b06m-m800.03 1 4 480 1183 800 2393
si6-b06m-m800.06 1 4 480 1184 800 2396
si4-r001-m400.08 1 7 160 318 400 1632
si4-r001-m400.06 1 7 160 325 400 1632
si4-r001-m400.02 1 7 160 327 400 1627
si4-r001-m400.00 1 7 160 325 400 1636
si4-r001-m400.04 1 7 160 322 400 1624
si4-r001-m400.03 1 7 160 319 400 1637
si4-r001-m400.09 1 7 160 318 400 1644
si4-r001-m400.05 1 7 160 296 400 1632
si4-r001-m400.01 1 7 160 294 400 1628
si4-r001-m400.07 1 7 160 317 400 1638
si2-m4Dr6-m1296.00 1 6 259 450 1296 4374
si2-m4Dr6-m1296.01 1 6 259 459 1296 4374
si2-m4Dr6-m1296.09 1 6 259 486 1296 4374
si2-m4Dr6-m1296.06 1 6 259 460 1296 4377
si2-m4Dr6-m1296.03 1 6 259 537 1296 4374
si2-m4Dr6-m1296.02 1 6 259 460 1296 4375
si2-m4Dr6-m1296.05 1 6 259 430 1296 4374
si2-m4Dr6-m1296.08 1 6 259 513 1296 4373
si2-m4Dr6-m1296.04 1 6 259 459 1296 4375
si2-m4Dr6-m1296.07 1 6 259 457 1296 4375
si2-b03-m800.07 1 3 160 237 800 1200
si2-b03-m800.08 1 3 160 237 800 1200
si2-b03-m800.04 1 3 160 237 800 1200
si2-b03-m800.05 1 3 160 237 800 1200
si2-b03-m800.09 1 3 160 237 800 1200
si2-b03-m800.00 1 3 160 237 800 1200
si2-b03-m800.02 1 3 160 237 800 1200
si2-b03-m800.03 1 3 160 237 800 1200
si2-b03-m800.01 1 3 160 237 800 1200
si2-b03-m800.06 1 3 160 237 800 1200
si4-b03m-m200.05 1 4 80 102 200 300
si4-b03m-m200.02 1 4 80 97 200 300
si4-b03m-m200.04 1 4 80 102 200 300
si4-b03m-m200.07 1 4 80 104 200 300
si4-b03m-m200.00 1 4 80 98 200 300
si4-b03m-m200.06 1 4 80 100 200 299
si4-b03m-m200.03 1 4 80 95 200 299
si4-b03m-m200.09 1 4 80 96 200 300
si4-b03m-m200.08 1 4 80 100 200 299
si4-b03m-m200.01 1 4 80 97 200 299
si2-b06m-m200.04 1 4 40 73 200 599
si2-b06m-m200.03 1 4 40 82 200 598
si2-b06m-m200.08 1 4 40 86 200 597
si2-b06m-m200.06 1 4 40 72 200 600
si2-b06m-m200.05 1 4 40 84 200 597
si2-b06m-m200.02 1 4 40 76 200 597
si2-b06m-m200.00 1 4 40 62 200 600
si2-b06m-m200.01 1 4 40 64 200 598
si2-b06m-m200.09 1 4 40 72 200 598
si2-b06m-m200.07 1 4 40 67 200 598
si6-m4Dr4-m625.05 1 6 375 942 625 1950
si6-m4Dr4-m625.09 1 6 375 958 625 1949
si6-m4Dr4-m625.04 1 6 375 942 625 1950
si6-m4Dr4-m625.00 1 6 375 910 625 1950
si6-m4Dr4-m625.08 1 6 375 948 625 1948
si6-m4Dr4-m625.06 1 6 375 979 625 1950
si6-m4Dr4-m625.01 1 6 375 920 625 1948
si6-m4Dr4-m625.03 1 6 375 904 625 1949
si6-m4Dr4-m625.07 1 6 375 883 625 1950
si6-m4Dr4-m625.02 1 6 375 972 625 1950
si4-b03-m200.06 1 3 80 117 200 300
si4-b03-m200.02 1 3 80 117 200 300
si4-b03-m200.07 1 3 80 117 200 300
si4-b03-m200.04 1 3 80 117 200 300
si4-b03-m200.03 1 3 80 117 200 300
si4-b03-m200.05 1 3 80 117 200 300
si4-b03-m200.09 1 3 80 117 200 300
si4-b03-m200.01 1 3 80 117 200 300
si4-b03-m200.00 1 3 80 117 200 300
si4-b03-m200.08 1 3 80 117 200 300
si2-b03-m400.03 1 3 80 117 400 600
si2-b03-m400.06 1 3 80 117 400 600
si2-b03-m400.07 1 3 80 117 400 600
si2-b03-m400.01 1 3 80 117 400 600
si2-b03-m400.05 1 3 80 117 400 600
si2-b03-m400.09 1 3 80 117 400 600
si2-b03-m400.02 1 3 80 117 400 600
si2-b03-m400.00 1 3 80 117 400 600
si2-b03-m400.08 1 3 80 117 400 600
si2-b03-m400.04 1 3 80 117 400 600
si4-b09-m200.02 1 3 80 336 200 900
si4-b09-m200.01 1 3 80 336 200 900
si4-b09-m200.00 1 3 80 336 200 900
si4-b09-m200.09 1 3 80 337 200 900
si4-b09-m200.08 1 3 80 336 200 900
si4-b09-m200.04 1 3 80 336 200 900
si4-b09-m200.06 1 3 80 336 200 900
si4-b09-m200.05 1 3 80 336 200 900
si4-b09-m200.07 1 3 80 336 200 900
si4-b09-m200.03 1 3 80 336 200 900
si4-m4Dr4-m256.05 1 6 102 225 256 774
si4-m4Dr4-m256.09 1 6 102 228 256 773
si4-m4Dr4-m256.01 1 6 102 189 256 772
si4-m4Dr4-m256.03 1 6 102 195 256 773
si4-m4Dr4-m256.06 1 6 102 209 256 774
si4-m4Dr4-m256.07 1 6 102 238 256 774
si4-m4Dr4-m256.00 1 6 102 211 256 773
si4-m4Dr4-m256.02 1 6 102 233 256 773
si4-m4Dr4-m256.08 1 6 102 200 256 773
si4-m4Dr4-m256.04 1 6 102 201 256 772
si2-m4D-m625.01 1 5 125 300 625 1700
si2-m4D-m625.00 1 5 125 295 625 1700
si2-m4D-m625.08 1 5 125 300 625 1700
si2-m4D-m625.04 1 5 125 296 625 1700
si2-m4D-m625.09 1 5 125 300 625 1700
si2-m4D-m625.02 1 5 125 296 625 1700
si2-m4D-m625.05 1 5 125 300 625 1700
si2-m4D-m625.06 1 5 125 300 625 1700
si2-m4D-m625.07 1 5 125 300 625 1700
si2-m4D-m625.03 1 5 125 298 625 1700
si4-b09-m800.03 1 3 320 1417 800 3600
si4-b09-m800.02 1 3 320 1416 800 3600
si4-b09-m800.09 1 3 320 1419 800 3600
si4-b09-m800.06 1 3 320 1416 800 3600
si4-b09-m800.04 1 3 320 1417 800 3600
si4-b09-m800.05 1 3 320 1419 800 3600
si4-b09-m800.00 1 3 320 1416 800 3600
si4-b09-m800.01 1 3 320 1416 800 3600
si4-b09-m800.07 1 3 320 1417 800 3600
si4-b09-m800.08 1 3 320 1417 800 3600
si2-m4Dr4-m256.05 1 6 51 95 256 774
si2-m4Dr4-m256.02 1 6 51 82 256 773
si2-m4Dr4-m256.00 1 6 51 96 256 774
si2-m4Dr4-m256.07 1 6 51 100 256 774
si2-m4Dr4-m256.03 1 6 51 79 256 773
si2-m4Dr4-m256.06 1 6 51 82 256 773
si2-m4Dr4-m256.04 1 6 51 86 256 772
si2-m4Dr4-m256.09 1 6 51 78 256 772
si2-m4Dr4-m256.01 1 6 51 96 256 772
si2-m4Dr4-m256.08 1 6 51 96 256 773
si6-m4Dr2-m256.04 1 6 153 346 256 722
si6-m4Dr2-m256.08 1 6 153 370 256 723
si6-m4Dr2-m256.00 1 6 153 365 256 722
si6-m4Dr2-m256.07 1 6 153 378 256 723
si6-m4Dr2-m256.01 1 6 153 349 256 722
si6-m4Dr2-m256.09 1 6 153 354 256 723
si6-m4Dr2-m256.03 1 6 153 349 256 723
si6-m4Dr2-m256.05 1 6 153 363 256 723
si6-m4Dr2-m256.02 1 6 153 340 256 723
si6-m4Dr2-m256.06 1 6 153 357 256 722
si6-b06-m800.00 1 3 480 1434 800 2400
si6-b06-m800.05 1 3 480 1434 800 2400
si6-b06-m800.02 1 3 480 1434 800 2400
si6-b06-m800.07 1 3 480 1434 800 2400
si6-b06-m800.08 1 3 480 1434 800 2400
si6-b06-m800.09 1 3 480 1434 800 2400
si6-b06-m800.06 1 3 480 1434 800 2400
si6-b06-m800.01 1 3 480 1434 800 2400
si6-b06-m800.04 1 3 480 1434 800 2400
si6-b06-m800.03 1 3 480 1434 800 2400
si4-b09m-m800.06 1 4 320 929 800 3597
si4-b09m-m800.01 1 4 320 967 800 3595
si4-b09m-m800.02 1 4 320 990 800 3598
si4-b09m-m800.08 1 4 320 975 800 3592
si4-b09m-m800.04 1 4 320 980 800 3598
si4-b09m-m800.03 1 4 320 961 800 3598
si4-b09m-m800.09 1 4 320 988 800 3595
si4-b09m-m800.05 1 4 320 904 800 3592
si4-b09m-m800.00 1 4 320 982 800 3595
si4-b09m-m800.07 1 4 320 879 800 3597
si2-b06-m800.04 1 3 160 474 800 2400
si2-b06-m800.07 1 3 160 474 800 2400
si2-b06-m800.02 1 3 160 474 800 2400
si2-b06-m800.00 1 3 160 474 800 2400
si2-b06-m800.03 1 3 160 474 800 2400
si2-b06-m800.05 1 3 160 474 800 2400
si2-b06-m800.09 1 3 160 474 800 2400
si2-b06-m800.01 1 3 160 474 800 2400
si2-b06-m800.08 1 3 160 474 800 2400
si2-b06-m800.06 1 3 160 474 800 2400
si6-m4D-m256.03 1 5 153 398 256 672
si6-m4D-m256.08 1 5 153 406 256 672
si6-m4D-m256.07 1 5 153 398 256 672
si6-m4D-m256.00 1 5 153 394 256 672
si6-m4D-m256.01 1 5 153 395 256 672
si6-m4D-m256.05 1 5 153 402 256 672
si6-m4D-m256.09 1 5 153 296 256 672
si6-m4D-m256.04 1 5 153 397 256 672
si6-m4D-m256.02 1 5 153 402 256 672
si6-m4D-m256.06 1 5 153 393 256 672
si2-b06m-m800.07 1 4 160 283 800 2398
si2-b06m-m800.02 1 4 160 298 800 2397
si2-b06m-m800.03 1 4 160 299 800 2398
si2-b06m-m800.01 1 4 160 306 800 2396
si2-b06m-m800.08 1 4 160 291 800 2396
si2-b06m-m800.04 1 4 160 294 800 2397
si2-b06m-m800.06 1 4 160 318 800 2397
si2-b06m-m800.09 1 4 160 304 800 2397
si2-b06m-m800.05 1 4 160 296 800 2396
si2-b06m-m800.00 1 4 160 316 800 2398
si4-b06m-m200.00 1 4 80 168 200 596
si4-b06m-m200.08 1 4 80 168 200 599
si4-b06m-m200.05 1 4 80 181 200 599
si4-b06m-m200.09 1 4 80 173 200 600
si4-b06m-m200.01 1 4 80 180 200 598
si4-b06m-m200.07 1 4 80 171 200 597
si4-b06m-m200.02 1 4 80 172 200 599
si4-b06m-m200.04 1 4 80 174 200 600
si4-b06m-m200.06 1 4 80 172 200 598
si4-b06m-m200.03 1 4 80 160 200 598
si6-r001-m400.09 1 7 240 623 400 1634
si6-r001-m400.05 1 7 240 618 400 1639
si6-r001-m400.00 1 7 240 664 400 1633
si6-r001-m400.04 1 7 240 606 400 1638
si6-r001-m400.07 1 7 240 644 400 1639
si6-r001-m400.06 1 7 240 638 400 1633
si6-r001-m400.02 1 7 240 634 400 1638
si6-r001-m400.03 1 7 240 617 400 1633
si6-r001-m400.08 1 7 240 581 400 1644
si6-r001-m400.01 1 7 240 660 400 1643
si6-m4D-m625.00 1 5 375 1100 625 1700
si6-m4D-m625.07 1 5 375 645 625 1700
si6-m4D-m625.05 1 5 375 680 625 1700
si6-m4D-m625.08 1 5 375 1100 625 1700
si6-m4D-m625.02 1 5 375 1100 625 1700
si6-m4D-m625.03 1 5 375 665 625 1700
si6-m4D-m625.04 1 5 375 1100 625 1700
si6-m4D-m625.09 1 5 375 687 625 1700
si6-m4D-m625.01 1 5 375 1100 625 1700
si6-m4D-m625.06 1 5 375 715 625 1700
si6-b09m-m800.02 1 4 480 1683 800 3596
si6-b09m-m800.09 1 4 480 1669 800 3595
si6-b09m-m800.04 1 4 480 1735 800 3596
si6-b09m-m800.07 1 4 480 1660 800 3593
si6-b09m-m800.00 1 4 480 1690 800 3598
si6-b09m-m800.05 1 4 480 1652 800 3591
si6-b09m-m800.03 1 4 480 1733 800 3593
si6-b09m-m800.01 1 4 480 1714 800 3597
si6-b09m-m800.06 1 4 480 1723 800 3596
si6-b09m-m800.08 1 4 480 1656 800 3590
si4-m4Dr6-m1296.01 1 6 518 1111 1296 4374
si4-m4Dr6-m1296.07 1 6 518 1103 1296 4377
si4-m4Dr6-m1296.06 1 6 518 1099 1296 4376
si4-m4Dr6-m1296.02 1 6 518 1179 1296 4374
si4-m4Dr6-m1296.08 1 6 518 1075 1296 4373
si4-m4Dr6-m1296.03 1 6 518 1214 1296 4376
si4-m4Dr6-m1296.00 1 6 518 1130 1296 4375
si4-m4Dr6-m1296.09 1 6 518 1101 1296 4375
si4-m4Dr6-m1296.05 1 6 518 1155 1296 4373
si4-m4Dr6-m1296.04 1 6 518 1186 1296 4375
si2-b06-m400.09 1 3 80 234 400 1200
si2-b06-m400.02 1 3 80 234 400 1200
si2-b06-m400.00 1 3 80 234 400 1200
si2-b06-m400.03 1 3 80 234 400 1200
si2-b06-m400.07 1 3 80 234 400 1200
si2-b06-m400.04 1 3 80 234 400 1200
si2-b06-m400.05 1 3 80 234 400 1200
si2-b06-m400.01 1 3 80 234 400 1200
si2-b06-m400.08 1 3 80 234 400 1200
si2-b06-m400.06 1 3 80 234 400 1200
si4-r01-m200.01 1 7 80 614 200 3778
si4-r01-m200.08 1 7 80 570 200 3789
si4-r01-m200.03 1 7 80 584 200 3778
si4-r01-m200.04 1 7 80 588 200 3810
si4-r01-m200.07 1 7 80 606 200 3773
si4-r01-m200.02 1 7 80 580 200 3778
si4-r01-m200.05 1 7 80 632 200 3781
si4-r01-m200.06 1 7 80 616 200 3786
si4-r01-m200.00 1 7 80 593 200 3805
si4-r01-m200.09 1 7 80 609 200 3797
si2-r001-m400.06 1 7 80 114 400 1637
si2-r001-m400.08 1 7 80 124 400 1635
si2-r001-m400.09 1 7 80 113 400 1630
si2-r001-m400.01 1 7 80 118 400 1641
si2-r001-m400.03 1 7 80 122 400 1630
si2-r001-m400.04 1 7 80 111 400 1640
si2-r001-m400.05 1 7 80 111 400 1640
si2-r001-m400.02 1 7 80 110 400 1636
si2-r001-m400.00 1 7 80 126 400 1631
si2-r001-m400.07 1 7 80 113 400 1640
si4-b03m-m800.03 1 4 320 412 800 1199
si4-b03m-m800.05 1 4 320 406 800 1199
si4-b03m-m800.06 1 4 320 395 800 1198
si4-b03m-m800.01 1 4 320 414 800 1200
si4-b03m-m800.08 1 4 320 404 800 1199
si4-b03m-m800.09 1 4 320 405 800 1200
si4-b03m-m800.00 1 4 320 407 800 1199
si4-b03m-m800.02 1 4 320 406 800 1198
si4-b03m-m800.07 1 4 320 418 800 1200
si4-b03m-m800.04 1 4 320 400 800 1199
si2-r01-m200.03 1 7 40 141 200 3788
si2-r01-m200.00 1 7 40 137 200 3795
si2-r01-m200.05 1 7 40 159 200 3789
si2-r01-m200.01 1 7 40 161 200 3767
si2-r01-m200.08 1 7 40 157 200 3789
si2-r01-m200.06 1 7 40 153 200 3780
si2-r01-m200.09 1 7 40 163 200 3764
si2-r01-m200.02 1 7 40 154 200 3798
si2-r01-m200.07 1 7 40 156 200 3794
si2-r01-m200.04 1 7 40 143 200 3785
si2-r01-m400.04 1 7 80 606 400 15169
si2-r01-m400.00 1 7 80 613 400 15136
si2-r01-m400.07 1 7 80 579 400 15151
si2-r01-m400.09 1 7 80 607 400 15165
si2-r01-m400.01 1 7 80 605 400 15188
si2-r01-m400.03 1 7 80 630 400 15193
si2-r01-m400.02 1 7 80 575 400 15164
si2-r01-m400.05 1 7 80 599 400 15144
si2-r01-m400.06 1 7 80 569 400 15124
si2-r01-m400.08 1 7 80 611 400 15167
si4-m4D-m625.09 1 5 250 666 625 1700
si4-m4D-m625.03 1 5 250 666 625 1700
si4-m4D-m625.07 1 5 250 419 625 1700
si4-m4D-m625.02 1 5 250 364 625 1700
si4-m4D-m625.00 1 5 250 677 625 1700
si4-m4D-m625.01 1 5 250 419 625 1700
si4-m4D-m625.04 1 5 250 670 625 1700
si4-m4D-m625.06 1 5 250 676 625 1700
si4-m4D-m625.08 1 5 250 409 625 1700
si4-m4D-m625.05 1 5 250 676 625 1700
si6-m4Dr6-m256.05 1 6 153 339 256 824
si6-m4Dr6-m256.04 1 6 153 385 256 822
si6-m4Dr6-m256.03 1 6 153 388 256 823
si6-m4Dr6-m256.02 1 6 153 391 256 825
si6-m4Dr6-m256.08 1 6 153 362 256 823
si6-m4Dr6-m256.00 1 6 153 360 256 824
si6-m4Dr6-m256.09 1 6 153 385 256 823
si6-m4Dr6-m256.07 1 6 153 394 256 824
si6-m4Dr6-m256.06 1 6 153 390 256 824
si6-m4Dr6-m256.01 1 6 153 384 256 822
si6-b09-m400.07 1 3 240 1056 400 1800
si6-b09-m400.03 1 3 240 1056 400 1800
si6-b09-m400.04 1 3 240 1057 400 1800
si6-b09-m400.06 1 3 240 1056 400 1800
si6-b09-m400.05 1 3 240 1059 400 1800
si6-b09-m400.09 1 3 240 1056 400 1800
si6-b09-m400.02 1 3 240 1057 400 1800
si6-b09-m400.01 1 3 240 1057 400 1800
si6-b09-m400.08 1 3 240 1056 400 1800
